Value,Diff
9605.85,0.34
9605.51,1369.7
8235.81,-611.75
8847.56,-272.21
9119.77,-224.39
9344.16,140.05
9204.11,-341.06
9545.17,221.63
9323.54,-284.46
9608,-258.99
9866.99,-92.72
9959.71,108.15
9851.56,-197.9
10049.46,238.31
9811.15,-224.19
10035.34,-101.65
10136.99,-122.75
10259.74,272.21
9987.53,215.68
9771.85,-68.23
9840.08,-67.18
9907.26,163.02
9744.24,-158.8
9903.04,-65.11
9968.15,-400.71
10368.86,-203.63
10572.49,-34.74
10607.23,179.56
10427.67,23.73
10403.94,132.3
10271.64,80.82
10190.82,-66.29
10257.11,346.39
9910.72,-95.91
10006.63,66.71
9939.92,-413.16
10353.08,248.82
10104.26,179.01
9925.25,335.58
9589.67,115.46
9474.21,220.42
9253.79,10.53
9243.26,-136.24
9379.5,694.97
8684.53,665.27
8019.26,-245.13
8264.39,-48.74
8313.13,-432.32
8745.45,-32.61
8778.06,-94.9
8872.96,209.46
8663.5,236.3
8427.2,114.51
8312.69,326.67
7986.02,284.57
7701.45,173.05
7528.4,-321.89
7850.29,-472.11
8322.4,-121.59
8443.99,-73.65
8517.64,-19.49
8537.13,-41.96
8579.09,-225.75
8804.84,-91.25
8896.09,250.32
8645.77,212.06
8433.71,-77.61
8511.32,207.54
8303.78,-297.91
8601.69,-183.26
8784.95,198.21
8586.74,455.73
8131.01,77.2
8053.81,189.58
7864.23,-44.57
7908.8,-109.31
8018.11,127.03
7891.08,151.05
7740.03,-119.68
7859.71,-662.26
8521.97,376.2
8145.77,-131.38
8277.15,73.74
8203.41,-134.24
8337.65,31.3
8306.35,-276.33
8582.68,-21.92
8604.6,-74.37
8678.97,77.59
8601.38,-248.88
8850.26,-212.53
9062.79,-54.33
9117.12,-83.63
9200.75,211.7
8989.05,-81.16
9070.21,-49.38
9119.59,-68.56
9188.15,-96.42
9284.57,130.6
9153.97,-37.12
9191.09,-130.6
9321.69,-27.18
9348.87,-66.95
9415.82,-87.52
9503.34,31.79
9471.55,-173.27
9644.82,331.74
9313.08,-259.23
9572.31,-102.37
9674.68,-47.11
9721.79,139.33
9582.46,-218.66
9801.12,-8.67
9809.79,41.11
9768.68,140.15
9628.53,-153.93
9782.46,-80.22
9862.68,-179.48
10042.16,-236.06
10278.22,-46.45
10324.67,-85.18
10409.85,-49.04
10458.89,-141.62
10600.51,32.22
10568.29,80.22
10488.07,-104.96
10593.03,-34.82
10627.85,8.82
10619.03,35.11
10583.92,-11.63
10595.55,355.47
10240.08,53.48
10186.6,-26.37
10212.97,-257.62
10470.59,18.62
10451.97,-20.87
10472.84,247.27
10225.57,108.23
10117.34,104.47
10012.87,46.13
9966.74,-221.71
10188.45,-54.37
10242.82,-167.28
10410.1,-6.31
10416.41,44.57
10371.84,89.01
10282.83,69.61
10213.22,73.44
10139.78,177.56
9962.22,-177.49
10139.71,324.38
9815.33,-10.02
9825.35,-284.79
10110.14,-84.87
10195.01,-65.19
10260.2,-52.87
10313.07,28.61
10284.46,237.22
10047.24,-145.41
10192.65,137.45
